Comment,Description,Designator,Footprint,LibRef,Quantity

"U.FL-R-SMT-1","ONN U.FL RCPT STR 50 OHM SMD","A2","COAXIAL RF U.FL-R-SMT-1","","1"
"100nF","Capacitor","C1, C2, C4","C0603","CAP","3"
"1uF","Capacitor","C3, C5","C0603","CAP","2"
"10pF","Capacitor","C6, C8","C0603","CAP","2"
"8.2pF","Capacitor","C7","CAPC1608X06L","CAP","1"
"2.4pF","Capacitor","C9","CAPC1608X06L","CAP","1"
"22uF","Capacitor","C10","C0603","CAP","1"
"4.7uF","Capacitor","C11","C0603","CAP","1"
"10uF","Capacitor","C12","C0603","CAP","1"
"Ferrite","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max","FB1","IND0603","","1"
"USB-C","","J1","TYPE-C-31-M-12","USB-C","1"
"1.5nH","Inductor","L1","IND0603","","1"
"1uH","Inductor","L3","IND0603","","1"
"10K","Resistor, ±5%, 0.05W","R1, R2, R8, R10, R12","RES0603R","","5"
"12K","Resistor, ±5%, 0.05W","R3","RES0603R","","1"
"453K","Resistor, ±5%, 0.05W","R4","RES0603R","","1"
"100K","Resistor, ±5%, 0.05W","R5, R14","RES0603R","","2"
"1K","Resistor, ±5%, 0.05W","R6, R11","RES0603R","","2"
"0R","Resistor, ±5%, 0.05W","R7, R9, R13","RES0603R","","3"
"ESP8285","ESP8266EX","U1","*QFN50P500X500X80-33N","ESP8266EX","1"
"2821","Adafruit Feather HUZZAH with ESP8266 WiFi","U2","*XCVR_2821","2821","1"
"TLV62568ADRLR","TLV62568ADRLR","U3","DRL0006A","TLV62568ADRLR","1"
"26MHZ","X201626MOD4SI","X1","BT-XTAL_2016","","1"
